nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Projet de protection globale d’une forêt à Haute Valeur Écologique et d’aménagement d’un sentier pédagogique sur les forêts matures (58),"Du fait de leur rareté à l’échelle nationale, le Parc du Morvan a inventorié en 2023 avec l’Institut National de Recherche pour l’Agriculture,  l’Alimentation et l’Environnement (INRAE) les forêts anciennes et matures à l’échelle du massif du Morvan : ce sont les forêts à Haute Valeur Ecologique (FHVE).
La Société d’Aménagement Foncier et d’Établissement Rural a porté à la connaissance du Conseil départemental la vente de parcelles forestières, jointives aux parcelles départementales de la forêt du Crot de la Vouavre, à Saint-Honoré-les-Bains. 
Ce dernier souhaite acquérir les 3 parcelles en question afin de préserver la quasi-totalité de cette forêt à haute valeur écologique et reconnue aujourd'hui comme espace naturel sensible. Ceci dans la perspective de proposer ce site à la stratégie nationale des aires protégées, en tant que site naturel sous protection forte. Le conseil départemental sollicite le soutien au titre du fonds vert.",43380.00,25616500,2104887194,,,SN Biodiversité,Bourgogne-Franche-Comté,Nièvre,58,22580001000012,DEPARTEMENT DE LA NIEVRE,Département,58246,Saint-Honoré-les-Bains
Restauration d'habitats favorables aux pollinisateurs sauvages dans le cadre du programme LIFE Wild Bees ,"Un maillage fin d'habitats favorables aux pollinisateurs est indispensable afin de favoriser leur déplacement et l'accès à la ressource florale et aux sites de nidification.
L’objectif de cette action est la recréation d'habitat favorables aux abeilles sauvages par la mise en œuvre de travaux de plantation de haie, de vergers, de semis de prairies, de création de gite de nidification … Pour cela, les espaces ciblés sont les espaces publics communaux et intercommunaux, les espaces agricoles et les emprises vertes des réseaux de transports.
Une convention sera signée entre le Parc et chacun des propriétaires privés ou publics des sites.
Afin de favoriser les abeilles sauvages une majorité des essences plantées sera labellisée « Végétal local » et favorables aux abeilles sauvages. 
L’ensemble des travaux seront menés sur le territoire du Parc. 
 
",46800.00,25617331,2104859757,,,SN Biodiversité,Nouvelle-Aquitaine,Gironde,33,20008841700015,SYNDICAT MIXTE D'AMENAGEMENT ET DE GESTION DU PARC NATUREL REGIONAL (PNR) MEDOC,Syndicat mixte ouvert,33424,Saint-Laurent-Médoc
"PNA ""Vipères de France hexagonale"" 2025-2030 - Déclinaison régionale Bourgogne-Franche-Comté - Bourgogne / 2026-2027",Voir fiche descriptive jointe à cette demande,49779.00,25658065,2104880882,,,SN Biodiversité,Bourgogne-Franche-Comté,Côte-d'Or,21,42277172500062,SOC HISTOIRE NATURELLE AMIS MUSEUM AUTUN,Association déclarée,21584,Saulieu
Restauration du patrimoine naturel du marais Saint-Jean - Pierrepont,"Le projet consiste à effectuer des travaux écologiques pour la restauration du patrimoine naturel du marais Saint-Jean de Pierrepont, secteur faisant l'objet d'une demande de classement en Réserve naturelle nationale. 
L'abandon des activités dans cette zone humide tourbeuse a provoqué la fermeture des milieux naturels, une dégradation de ceux-ci et une perte de biodiversité. Les parcelles ont été colonisées par les ligneux et dans les secteurs encore ouverts, la végétation s'est fortement densifiée.
Les actions consisteront à rouvrir ces parcelles par des travaux de fauche exportatrice et de déboisement afin de permettre au patrimoine naturel de s'exprimer, notamment les habitats ouverts de tourbière et les espèces associées. Ces actions permettront également de lutter contre une espèce exotique envahissante, l'aster américain.",26805.00,25671303,,1116232,Agence de l'eau,SN Biodiversité,Hauts-de-France,Aisne,02,42100839200027,LA ROSELIERE,Association déclarée,02600,Pierrepont
Acquisition de 5 parcelles au sein du marais de la souche,"Le site se trouve sur la commune de Liesse-Notre-Dame dans le département de l’Aisne (02), au lieu-dit « le Marais Saint-Boëtien » et fait partie intégrante des marais de la Souche Les marais de la Souche couvrent près de 3 000 hectares et représentent une grande diversité d’habitats tourbeux qui se divisent en trois zones : Une zone humide au Nord, peu boisée mais avec présence de roselières et de mégaphorbiaies (formation de hautes herbes des terrains humides), Une zone centrale de tourbières, soumise à l'action de l'homme pour l'extraction de la tourbe, où s’exercent encore aujourd’hui la pêche, la chasse et les activités de loisirs, Une zone boisée au Sud, en continuité avec la forêt de Samoussy. Les enjeux de préservations des habitats sont importants, certains étant définis comme prioritaires.",9460.00,25698544,,1116305,Seine-Normandie,SN Biodiversité,Hauts-de-France,Aisne,02,39457286100026,FONDATION POUR LA PRESERVATION DE LA NATURE,Fondation,02430,Liesse-Notre-Dame
"Installation d’une caméra intelligente pour le comptage de canoës-kayaks sur la section du Chassezac classée ENS, comme outil de gestion des quotas, pour concilier la préservation du milieu naturel et la confortation de la filière touristique des activités aquatiques de Pleine nature (Phase 2 – Mise en œuvre)","En lien avec les partenaires concernés (Etat, Département, communes, acteurs, ...), la CDC du Pays des Vans en Cévennes a pour objectif d’accompagner l’ensemble de la profession du canoë du territoire à intégrer des logiques de régulation et de travail collectif, via la mise en place d’un quota global de canoës mis à l’eau.

Ici, la transition écologique se matérialise par le passage d’une filière touristique qui fonctionne de manière libéralisée et indépendante, à une activité qui souhaite s’autoréguler en cas de trop forte fréquentation pour répondre aux objectifs suivants : 
- Limiter la pollution de micros plastiques produits par le frottement des canoës pendant l’étiage estival,
- Limiter le nombre de bateaux sur la rivière à 880 canoës / jour et sur une amplitude horaire convenue (8h-19h) afin de laisser des plages horaires apaisées pour l’accès de la faune à la rivière,
- Garantir une expérience client apaisée,
- Alors qu’une hausse régulière du nombre de bateaux sur la rivière était constatée, mettre un coup d’arrêt à cette hausse par la mise en place d’un quota.
Les acteurs de la filière sont accompagnés dans le changement de leurs pratiques, avec l’engagement individuel sur un nombre d’embarcations journalières à respecter. L’installation de la caméra de comptage est un outil indispensable pour assurer le respect et le suivi de ce quota, pour chaque loueur.
",6610.56,25734748,2104868452,,,SN Biodiversité,Auvergne-Rhône-Alpes,Ardèche,07,20003983200080,CC PAYS DES VANS EN CEVENNES,Communauté de communes,07031,Berrias-et-Casteljau
Assistance technique et scientifique pour la création de la Réserve naturelle nationale des Landes et Pelouses serpentinicoles de la Haute-Vienne,"Le projet consiste sur sollicitation de la DREAL Nouvelle-Aquitaine à porter assistance technique pour la continuité du projet, notamment par l'élaboration du projet de décret, du dossier d'enquête publique et l'animation dans une démarche de concertation de groupes de travail locaux.
L’élaboration du dossier technique, pilotée par la DREAL NA, a été confiée au Conservatoire des espaces naturels de Nouvelle-Aquitaine. Le jeudi 26 juin 2025 s’est tenu à la salle polyvalente de La Porcherie, sous la présidence de Laurent Monbrun, Secrétaire général de la Préfecture de la Haute-Vienne, le 2nd comité de pilotage du projet de création de la réserve naturelle nationale (RNN) sur les serpentinites du sud de la Haute-Vienne. Ce dernier a précisé que le projet de réserve naturelle est inscrit au Plan d’actions territorial Nouvelle-Aquitaine 2022-2024 dans le cadre de la Stratégie Nationale des Aires Protégées ce qui lui confère un fort enjeu.",29998.17,25774337,2104796688,,,SN Biodiversité,Nouvelle-Aquitaine,Haute-Vienne,87,38857596100031,CONSERVATOIRE D'ESPACES NATURELS DE NOUVELLE-AQUITAINE,Association déclarée,87095,Meuzac
Adaptation de la gestion des réserves naturelles régionales de Normandie aux changements climatiques,"la Région souhaite consolider les compétences de ses équipes ainsi que celles des gestionnaires d’espaces protégés, en matière d’évaluation des vulnérabilités écologiques des impacts climatiques sur les habitats et les espèces, et de définition de mesures de gestion adaptative. L’objectif est de favoriser une meilleure prise en compte des dynamiques climatiques dans les plans de gestion des réserves naturelles, en s’appuyant sur la rédaction de notice de vulnérabilité pour chacune des réserves identifiées. Cinq réserves naturelles régionales seraient accompagnés : la RNR de la côte de la Fontaine et la RNR des anciennes carrières d’Orival caractérisées par des milieux calcaires, la RNR des marais de la Taute composée de marais tourbeux, la RNR de la clairière forestière de Bresolettes regroupant des milieux forestiers et étangs et la RNR des pierriers abritant des mousses et des lichens spécifiques sur éboulis rocheux. ",50000.00,25779968,2104892292,,,SN Biodiversité,Normandie,Calvados,14,20005340300057,REGION NORMANDIE,Région,14118,Caen
RNR de Saint-Cyr : restauration des équipements d'accueil du public,"La gestion de la réserve exige des moyens techniques adaptés, des matériels et outils spécifiques à chaque domaine d'activités et opération. Ces équipements doivent être maintenus en bon état de fonctionnement par le gestionnaire, remplacés et complétés au besoin
afin de pourvoir la réserve de moyens matériels suffisants et adaptés.
La demande de subvention concerne la réalisation de travaux indispensables à la mise en œuvre du plan de gestion et l’atteinte de ses objectifs à long terme, en particulier concernant l’accueil et la sensibilisation du public. Les travaux prévus concernent la réfection des observatoires.",20000.00,25783740,2104796327,,,SN Biodiversité,Nouvelle-Aquitaine,Vienne,86,78426328700145,LIGUE FRANCAISE PROTECTION OISEAUX,Association déclarée,86019,Beaumont Saint-Cyr
"Mon exploitation agricole sollicite le Fond Vert suite à la dégradation de plusieurs parcelles de mon exploitation à cause de l’installation illégale d’une rave party durant plusieurs jours. L’objectif est de renaturer le site dégradé et retrouver l’état écologique initial en protégeant les parcelles, restaurant l’état des sols et de la végétation. ","Le projet consiste en la remise en état des prairies de pelouses sèches dégradées suite à une rave party : 
-Perte de production fourragère : Habituellement 300 brebis pâturent durant 5 mois sur ces parcours herbacés. Après cet évènement, le pâturage est impossible.  Le piétinement des personnes et l’épaisseur de boue ont empêché la repousse de l’herbe.  La nature du sol, très faible profondeur et présence de pierre, ne permet pas une opération de re-semis.
-Ramassage de l’Ursus cassé et mélangé à la boue et travail de renivellement du sol 
-Redonner les conditions d'installation et de reproduction des espèces présentes ( en particulier alouette lulu, lézard ocellé)

Les actions à mettre en place pour restaurer l’état écologique initial de ces parcelles :
- TRAVAUX : Opération de restauration (travail du sol, décompactage, …) --> Voir devis de l'exploitant 
",9520.00,25837558,2104853967,,,SN Biodiversité,Occitanie,Lot,46,75147217600013,DU DAURY,Groupement agricole d'exploitation en commun (GAEC),46208,Montvalent
GESTION DE LA SPARTINE ANGLAISE SUR LE BASSIN D’ARCACHON,"La spartine anglaise tend à coloniser massivement la partie haute des vasières et entre en concurrence avec les herbiers de zostère et autres espèces indigènes du Bassin d’Arcachon. En 2018 et en 2022, le SIBA a piloté des campagnes d’arrachage mécanique de cette plante exotique envahissante sur le littoral du Nord Bassin d’Arcachon. Au regard de l’évolution des massifs, constatée sur le terrain et avec les survols aériens, une nouvelle campagne d’arrachage est envisagée pour poursuivre la pression exercée sur cette plante sur 4 zones :
•	CLAOUEY : plage de la croix des marins
•	ARES : Club nautique
•	ANDERNOS :de la plage du Bétey jusqu’au port de Fontainevieille
•	LANTON : Vieux port de Taussat
L’arrachage mécanique consiste en un retournement des pieds de spartine anglaise sur une profondeur minimum de 30 cm, sans exportation. La plante se retrouve alors avec les feuilles ensevelies et les racines mises à nu, elle s’asphyxie et meure.",21998.08,25858180,2104850556,,,SN Biodiversité,Nouvelle-Aquitaine,Gironde,33,25330643500012,SYND INTERCOM DU BASSIN D'ARCACHON,Syndicat mixte fermé,33005,Andernos-les-Bains
Signalétique de la Réserve Naturelle Nationale du Courant d'Huchet,"Installation de panneaux de présentation de la réserve naturelle et de bornes règlementaires.
Le panneau de présentation assure une fonction d’identification de la réserve et de renseignements sur le site. Il s’adresse aux usagers et aux visiteurs de la réserve qui viennent la découvrir. Il est constitué d’un plan indiquant les limites de la réserve et les sentiers de découverte, accompagné d’un texte de présentation sommaire de l’espace protégé. Une vitrine, placée sur un côté du panneau, permet d’afficher la règlementation de la réserve (décret de classement, règlement intérieur). Un rappel de la réglementation est fait en utilisant les pictogrammes réglementaires sur un bandeau vertical. Ce panneau est installé sur les aires d’accueil principales de la réserve.
La borne règlementaire répond prioritairement à l’objectif d’information de la limite de la réserve naturelle et de sa réglementation. Elle est constituée d’un poteau bois avec en son sommet la plaque « réserve naturelle » et d’un bandeau de pictogrammes règlementaires placé en dessous. Elle est installée aux entrées secondaires du site protégé. Elle permet d’informer les visiteurs qu’ils pénètrent sur un espace protégé avec une réglementation particulière.
Ces éléments de signalétique sont conçus selon la charte graphique nationale des réserves naturelles (novembre 2023).",10800.00,25955596,2104822813,,,SN Biodiversité,Nouvelle-Aquitaine,Landes,40,25400177900019,SIVU RESERVE NATURELLE COURANT D'HUCHET,Syndicat intercommunal à vocation unique (SIVU),40150,Léon
Régulation des populations de crabes bleus dans l'étang de Berre,"Depuis 2017, on assite à une expansion de cette espèce en Méditerranée et particulièrement dans les lagunes méditerranéennes. Dans l'étang de Berre, les signalements étaient faibles jusqu'à l'automne 2023, puis l'espèce a explosé en juillet 2024, avec des pics de captures à 400 individus par marées (120 kg). Les modifications du régime thermique induites par le changement climatique pourraient être un facteur favorisant son développement, il est important de suivre les évolutions des populations et mettre en place des mesures pour limiter les risques pour l’activité professionnelle de pêche et l‘équilibre de l’écosystème lagunaire.
Dans ce contexte, le Gipreb prévoit de réaliser un programme d’actions sur l'étang de Berre afin de (i) réguler la population de crabes bleus dans la lagune, (ii) suivre la population ainsi que son impact sur la pêche et la biodiversité, et (iii) accompagner les professionnels vers une valorisation de ce produit.",14080.00,25957164,2104824756,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,20002603700016,GIPREB SYNDICAT MIXTE GESTION INTEGREE PROSPECTIVE ET RESTAURATION DE L ETANG DE BERRE,Syndicat mixte ouvert,13014,Berre-l'Étang
Valorisation de l'Atlas de la flore vasculaire des Terres australes françaises,"Action en lien avec le dossier n° 11826839 déposé sur démarches simplifiées le 27 avril 2023, qui porte sur l'édition et la publication d'un atlas de la flore des Terres australes françaises, pour lequel une subvention de 70 000€ a été attribuée par arrêté n°2023-49 du 5 juin 2023.
En vue de diffuser le plus largement possible cet ouvrage, la présente demande de subvention vise à: 1/ produire des outils pratiques (et disponibles en ligne) pour diffuser la connaissance sur la flore des îles australes 2/organiser un évènement de présentation de l'atlas de la flore. Cet évènement de promotion sera destiné aux partenaires des TAAF (Muséum National d’Histoire Naturelle, Office française de la Biodiversité, Conservatoires botaniques, etc), mais aussi au grand public, avec une campagne de communication dans les médias en amont de l'évènement.",19500.00,25958400,2104807646,,,SN Biodiversité,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises,984,22984000400027,TERRITOIRE DES TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,(Autre) Collectivité territoriale,97416,Saint-Pierre
Restauration du site de ponte des tortues marines de Grandes cayes - Saint-Martin - 2026-2027 (18 mois),"Le projet est un plan local d’actions visant à enrayer la dégradation, encadrer les usages et améliorer la qualité d'accueil du site de ponte des tortues marines (trois espèces) de Grandes cayes. Il est situé au Nord-Est de l’île, en contrebas de l’Ecosite (installations de traitement des déchets), sur un site classé en Réserve Naturelle Nationale. Une route d’accès à « l’Ecosite » est située en arrière-plage et génère des nuisances affectant le site de ponte. Le projet prévoit de réduire ces impacts par le renfort du cordon végétal en haut de plage avec une extraction des espèces végétales exotiques envahissantes et la revégétalisation alimentée par une pépinière à installer sur le site d'accueil de l'Ecosite, en collaboration avec les gestionnaires des îles voisines pour un partage d'expériences. Des animations scolaires, des appels au bénévolat et la sensibilisation des aménageurs et usagers du site contribueront à valoriser le projet.",179105.60,25967368,2104914318,,,SN Biodiversité,Saint-Martin,Saint-Martin,978,44150373700047,ASS GESTION RESERVE NATURELLE ST MARTIN,Association déclarée,97801,Saint-Martin
CT Val Allier alluvial - Fiche B.2.b. Préservation et restauration de sites érodables sur le val d'Allier,"Mise en place de la gestion sur les nouveaux sites acquis  :
- addenda au plan de gestion thématique des sites érodables du val d'Allier, 
- cadrage des pratiques agricoles
- Travaux de restauration sur certains sites : aménagements pastoraux pour la conversion de culture ou l'évolution de pratiques, plantations de haies, fermetures d'accès véhicules...
Suivi de la gestion agricole des sites érodables déjà maîtrisés (270 ha) 
Restauration de la dynamique fluviale : 
- Etudes de faisabilité de restauration de la dynamique : identification des sites potentiels soumis à technique (Diagnostic hydromorphologique, diagnostics socio-économique,  écologique du site, concertation, évaluation de l'acceptation sociale), 
- définition des travaux de restauration, champ réglementaire et impacts des travaux
",7972.00,25988209,,AID-2025-04547,Agence de l'eau,SN Biodiversité,Auvergne-Rhône-Alpes,Allier,03,39364958700044,CONSERVATOIRE D ESPACES NATURELS DE L ALLIER,Association déclarée,03114,La Ferté-Hauterive
Acquisition Vallée Bourdigal - Outarde (2025),"Le projet consiste en l'acquisition de 1.6080 ha permettant de compléter la mosaïque de parcelles en maîtrise foncière et d'usage du CEN et gérées en faveur de l'avifaune de plaine. Le montant comprend la valeur principal des terrains, ainsi que les frais d'intervention SAFER et les frais notariés. L’acquisition de ces parcelles répond à un enjeu national majeur de conservation de l’Outarde canepetière, espèce en danger critique et bénéficiant d’un PNA. Ce secteur concentre la dernière population migratrice de France, dont la survie dépend du maintien de surfaces en herbe favorables à la reproduction. Le CEN NA, déjà gestionnaire de près de 40 ha dans la vallée, agit en partenariat avec le monde agricole via des BRCE garantissant des pratiques adaptées. Cette acquisition consolidera la maîtrise foncière et la cohérence écologique du site, renforçant un des noyaux vitaux pour la sauvegarde de l’espèce à l’échelle nationale.",9000.00,25989238,2104819541,,,SN Biodiversité,Nouvelle-Aquitaine,Deux-Sèvres,79,38857596100031,CONSERVATOIRE D'ESPACES NATURELS DE NOUVELLE-AQUITAINE,Association déclarée,79016,Assais-les-Jumeaux
Restauration d'une prairie et d'une mare ,"Une parcelle en bordure immédiate d'un ENS et d'un périmètre de protection de biotope n'est plus entretenu depuis de nombreuses années et fait l'objet de dépôts de déchets. La communauté de communes a l'opportunité d'acquérir cette parcelle. La Copamo souhaite restaurer cette parcelle , en évacuant tous les déchets, en débroussaillant et en la mettant à disposition d'un éleveur avec lequel le CENra a l'habitude de travailler sur la commune. Une mare en bas de parcelle sera restaurée: curage, reprofilage des berges si besoin. En effet, dans le secteur il existe aujourd’hui un réseau de mares favorables au triton crêté. L'espace naturel sensible des landes de Montagny est géré conjointement avec le CEnra et une demande est faite au Département d'intégrer cette parcelle à l'ENS, la gestion sera confiée au CENra. Le périmètre de l'appb des landes de Montagny est en cours de révision et demande est faite à la DDT d'intégrer cette parcelle. ",27424.00,26003194,2104875355,,,SN Biodiversité,Auvergne-Rhône-Alpes,Rhône,69,24690074000035,COMMUNAUTE DE COMMUNE DU PAYS MORNANTAIS,Communauté de communes,69241,Taluyers
Vers une meilleure appropriation des aires protégées du massif des Bauges,"Le Parc naturel régional du Massif des Bauges présente 10 aires protégées sur son périmètre (1 Réserve nationale de chasse et de faune sauvage des Bauges, 6 Arrêtés Préfectoraux de Protection de Biotope, 2 Réserves Biologiques en forêt domaniale et 1 Réserve Naturelle Nationale au bout du lac d’Annecy). Ces réglementations génèrent de nombreuses incompréhensions et questionnements par ses pratiquants. Cela entraîne des manquements à la réglementation et un manque d’appropriation. Le Parc souhaite développer une campagne de communication et sensibilisation afin d'expliquer les raisons des réglementations et favoriser leur adhésion. Il s'agit de déployer des outils vulgarisés pour une meilleure appropriation des aires protégées. La démarche sera conduite en réseau auprès des gestionnaires des aires protégées du Parc mais également en inter-parcs, en vue de les mutualiser et les transférer au maximum.
",28000.00,26020397,2104874667,,,SN Biodiversité,Auvergne-Rhône-Alpes,Savoie,73,25730220800026,SYNDICAT MIXTE PARC NATUREL REGIONAL MASSIF DES BAUGES,Syndicat mixte ouvert,73081,Le Châtelard
Préservation des sites de nidification et identification des causes de mortalité chez le Milan royal en Corse,"Ce projet présenté par le Conservatoire d’Espaces Naturels Corse vise à préserver les sites de nidification du Milan royal en milieu boisé, et à identifier et limiter les causes de mortalité de cette espèce en Corse.

Il peut être subdivisé en trois volets :
-	la préservation des habitats en milieux boisés (forêts et ripisylves),
-	la caractérisation et la limitation des causes d’empoisonnement
-	la limitation des autres causes de mortalité 
Ces trois volets sont reliés au suivi d’un certain nombre de couples reproducteurs permettant ainsi de réaliser de façon transversale une veille de la population de milans. 
",147191.32,26060363,2104815298,,,SN Biodiversité,Corse,Haute-Corse,2B,39075220200031,CONSERVATOIRE D ESPACES NATUREL CORSE ET AMIS PARC NATUREL,Association déclarée,2B042,Borgo
Restauration d'habitats de la zone humide de Courpain et suivis faunistiques des impacts,"Ce projet de restauration se déroule en plusieurs étapes et sur plusieurs années. Le but est de permettre, dans le temps, de restaurer pour rendre plus fonctionnels les différents habitats composants cette zone humide, afin d'en préserver et d'enrichir la biodiversité qu'ils accueillent. Lors de cette deuxième étape (année 2026), il est donc prévu de mettre en place des actions de restauration des habitats et du suivi des impacts
de ces opérations sur la faune.
- Poursuite de la restauration de la prairie avec création d'habitats favorables aux Lépidoptères.
- Restauration par arasement d'un merlon situé sur une zone favorable à la circulation des amphibiens ainsi qu'un habitat favorable à la Scrofulaire des chiens et au Corynéphore blanchâtre.
- Restauration du chenal autour de l'îlot permettant d’isoler ce secteur de la rive du site afin de protéger des espèces d'oiseaux nicheurs et création d'une mare avec le surplus de matériaux récupérés.",68390.50,26125265,2104817540,,,SN Biodiversité,Centre-Val de Loire,Loiret,45,40119794200014,MAISON DE LOIRE,Association déclarée,45241,Ouvrouer-les-Champs
Plan Régional d'Actions Chiroptères de Normandie : Protection des gîtes d'hibernation 2025,"Le projet répond aux objectifs de la stratégie nationale biodiversité 2030 par la mise en œuvre d'actions concrètes de conservation et de restauration de milieux naturels et plus particulièrement des habitats utilisés par les chauves-souris. Ce projet s'inscrit dans le plan régional d'actions Chiroptères de Normandie, déclinaison du Plan National d'Actions Chiroptères. Il s'agit de protéger des sites d'hibernation de chauves-souris par la mise en place d'aménagements adaptés garantissant la tranquillité des populations hivernantes.",21661.20,26139394,2104884129,,,SN Biodiversité,Normandie,Eure,27,42284512300039,ASS GROUPE MAMMALOGIQUE NORMAND,Association déclarée,50296,Maupertus-sur-Mer
TRAITEMENT DES BAMBOUS SUR DES BERGES DU BETEY,"Le Syndicat Intercommunal du Bassin d’Arcachon (SIBA) exerce depuis 2020 la compétence Gestion des Milieux Aquatiques et Préventions des Inondations (GEMAPI). A ce titre et en partenariat avec la commune d’Andernos-les-Bains, il met en œuvre depuis 2023 un plan pluriannuel de gestion (PPG) sur le bassin versant du Bétey. 
L’objectif est d’en améliorer l’hydraulique, de prévenir les inondations en zones urbaines, tout en confortant et en améliorant la biodiversité et la qualité de l’eau de l’ensemble de ce milieu naturel. 
La présente opération consiste en la gestion du bambou (espèce terrestre envahissante) qui envahit et détériore une zone en berge du Bétey dans sa partie aval urbaine, classée cours d’eau, à 130 mètres de son exutoire, dans le port maritime du Bétey.",12000.00,26232461,2104857553,,,SN Biodiversité,Nouvelle-Aquitaine,Gironde,33,25330643500012,SYND INTERCOM DU BASSIN D'ARCACHON,Syndicat mixte fermé,33005,Andernos-les-Bains
Aménagement du sentier pédagogique dans le cadre de la gestion du site de la tourbière des froux à Manou ,"Le Parc naturel régional du Perche et la commune de Manou portent le projet de valoriser la richesse écologique de la tourbière des Froux située en sites Natura 2000 et en réserve biologique dirigée. Le plan de gestion de ce site prévoit l'accueil du public et de garantir la pérennité du sentier et des équipements connexes. Devant le constat de dégradation des aménagements et de la nécessité de sensibiliser aux enjeux de conservation de ce site de manière encadrée, il est prévu :
- L'aménagement de l’accès avec la délimitation de la zone de stationnement et avec la pose d’une barrière;
- Le remplacement des pontons bois et le renforcement des balisages;
- La mise en valeur de l’ancien lavoir et de la mare;
- La mise en place de panneaux pédagogiques et signalétiques.
L'objectif du projet est de mettre en place un parcours aménagé permettant de devenir un véritable outil de découverte et d'apprentissage tout en préservant le milieu naturel.",70760.00,26283749,2104836636,,,SN Biodiversité,Centre-Val de Loire,Eure-et-Loir,28,25610388800028,SYND MIXTE GESTI PARC NATUREL REG PERCHE,Syndicat mixte ouvert,28232,Manou
"Elaboration d’un Guide Eviter, Réduire, Compenser pour le territoire du SCOT Sud Gard","Fort de son expérience et de sa forte implication sur le territoire SCOT Sud Gard, le projet proposé par le CEN Occitanie consiste à créer un guide ERC de la compensation. Il s’agit de coconstruire ce guide avec l’ensemble des acteurs concernés du territoire. Ce guide sera centré sur l’Outarde canepetière, enjeu principal du territoire et espèce dite parapluie. Toutefois, les autres espèces fréquemment rencontrées et concernées par la compensation écologique seront traitées transversalement.
L’objectif est de partager un socle de connaissance commun et sur cette base, coconstruire des règles communes et validées par tous, pour appliquer au mieux la séquence ERC. Il s’agit de faire émerger du compromis dans un cadre fixe. L’objectif plus général est in fine de concevoir un aménagement durable, soutenable et équilibré du territoire ; tout en garantissant sa multifonctionnalité et la conservation des espèces qui font sa richesse.",135135.00,26289732,2104869110,,,SN Biodiversité,Occitanie,Gard,30,38464393800051,CONSERVATOIRE D ESPACES NATURELS D OCCITANIE,Association déclarée,30189,Nîmes
Améliorer la prise en compte du Balbuzard pêcheur et autres grands oiseaux forestiers patrimoniaux dans la gestion forestière,"L’objectif du projet porte sur l'installation de 10 pièges photographiques sur des nids connus de Balbuzards pêcheurs et éventuellement d’autres oiseaux forestiers à enjeux patrimonial fort au niveau régional (Cigogne noire, Circaète Jean-le-Blanc etc.) pour répondre à plusieurs objectifs : 
-	Obtenir des données et informations précises sur l’utilisation des nids par les oiseaux (dates d’arrivée, période de ponte, nombre d’individus, dérangement, prédation etc.)
-	Éviter le dérangement en période sensible pour le suivi du nid
-	Adapter les mesures de gestion forestière à proximité des nids (périmètres de protection, adaptation des périodes d’interventions sylvicoles, îlots de sénescence, contrats forestiers, etc.)
-	Sensibiliser les propriétaires sur ces enjeux
",15680.00,26324236,2104823299,,,SN Biodiversité,Centre-Val de Loire,Loir-et-Cher,41,18009235500478,CNPF SERVICES GENERAUX,Établissement public national à caractère administratif,45234,Orléans
Suivis des flux de carbone et des dynamiques écologiques sur un gradient d’afforestation de zones tourbeuses de la vallée de la Somme,"Les politiques climatiques s'intéressent aux sols comme puits de carbone, notamment les tourbières, qui stockent 25 % du carbone organique des sols bien qu'elles ne couvrent que 3 % des terres émergées. En France, la vallée de la Somme renferme le plus grand stock de tourbe (64 Mt C), fortement dégradé par drainage et usages humains. L’assèchement ces derniers siècles puis l'abandon du pâturage et l'afforestation récente y ont considérablement fait régresser les tourbières. Le projet FENAFFOR vise à quantifier les émissions de GES sur ce territoire via des sites expérimentaux équipés (mesures de GES). Il permettra de modéliser les flux de carbone issus des tourbes en dégradation. A terme, ces données acquises permettront d'envisager des projets de restaurations hydrologiques financés par crédits carbone des émissions évitées. Ce levier s’inscrit dans la stratégie nationale bas carbone et la directive européenne de restauration des tourbières.        ",300000.00,26351195,2104916590,,,SN Biodiversité,Hauts-de-France,Somme,80,19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE,Établissement public national à caractère scientifique culturel et professionnel,80021,Amiens
Contribution à la mise en œuvre du programme d’action de la déclinaison régional Auvergne-Rhône-Alpes de la Stratégie des Aires Protégées,"Le projet de charte 2026-2041 du Parc naturel régional Livradois-Forez comporte une mesure qui vise à « Préserver les milieux naturels remarquables et les espèces patrimoniales » (mesure 2.1.1). Cette mesure rappelle le contexte dans lequel s’inscrit la future contribution du syndicat mixte du Parc à la mise en œuvre de la déclinaison régionale de la Stratégie des Aires Protégées (SAP).
Le syndicat mixte du Parc prévoit de contribuer à l’avancée de certains projets inscrits aux enjeux B, C ou D, du programme d’action 2025-2027 de la déclinaison AuRA de la SAP. Ce travail aboutira à la réalisation de notes d’opportunité et de pré-diagnostics sur certains sites pour permettre une prise de décision ultérieure, cette préparation doit comporter à la fois une expertise et une animation de la démarche d’appropriation locale des projets.
Une note détaillée est fournie en PJ.",100000.00,26373404,2104889767,,,SN Biodiversité,Auvergne-Rhône-Alpes,Puy-de-Dôme,63,25630124300018,SYNDICAT MIXTE D'AMENAGEMENT ET DE GESTION DU PARC NATUREL REGIONAL LIVRADOIS-FOREZ,Syndicat mixte ouvert,63355,Saint-Gervais-sous-Meymont
