nom;structure_porteuse;communes;annee_debut;statut_a_verifier;motif;requete_recherche
ABC du PNR Landes De Gascogne;Landes De Gascogne;Audenge, Balizac, Le Barp, Belin-Béliet, Biganos, Bourideys, Captieux, Cazalis, Escaudes, Giscos, Goualade, Hostens, Lanton, Lartigue, Louchats, Lucmau, Lugos, Mios, Origne, Saint-Léger-de-Balson, Saint-Magne, Saint-Michel-de-Castelnau, Saint-Symphorien, Salles, Le Teich, Le Tuzan, Marcheprime, Argelouse, Arue, Belhade, Bélis, Brocas, Cachen, Canenx-et-Réaut, Commensacq, Garein, Labouheyre, Labrit, Lencouacq, Luglon, Luxey, Maillères, Mano, Moustey, Sabres, Le Sen, Solférino, Sore, Trensacq, Vert;2014;En cours;début 2014 → potentiellement terminé;"atlas de la biodiversité communale" "Landes De Gascogne" Audenge
ABC du PNR Mont Ventoux n°2 - Le Beaucet, Mazan, Méthamis, Mormoiron, Saint-Didier, Saint-Pierre-de-Vassols, Venasque et Villes-sur-Auzon;;Le Beaucet, Mazan, Méthamis, Mormoiron, Saint-Didier, Saint-Pierre-de-Vassols, Venasque, Villes-sur-Auzon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "du PNR Mont Ventoux n°2 - Le Beaucet, Mazan, Méthamis, Mormoiron, Saint-Didier, Saint-Pierre-de-Vassols, Venasque et Villes-sur-Auzon" Le Beaucet
ABC du PNR de La Sainte-Baume (2);La Sainte-Baume;Trets, Le Beausset, Évenos, Pourcieux, Pourrières, Signes;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "La Sainte-Baume" Trets
ABC du PNR de l'Avesnois II;Avesnois;L'Orée de Mormal, Bousies, Cartignies, Englefontaine, Fontaine-au-Bois, Gommegnies, Hecq, Jolimetz, Louvignies-Quesnoy, Neuville-en-Avesnois, Poix-du-Nord, Potelle, Preux-au-Bois, Raucourt-au-Bois, Robersart, Vendegies-au-Bois, Villereau, Wignehies;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Avesnois" L'Orée de Mormal
ABC du PNR des Alpilles;Alpilles;Aureille, Les Baux-de-Provence, Eygalières, Paradou, Saint-Étienne-du-Grès;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Alpilles" Aureille
ABC du PNR des Baronnies Provençales n°2 - Méouge aval;Baronnies Provençales;Barret-sur-Méouge, Saint-Pierre-Avez;2022;En cours;début 2022 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Baronnies Provençales" Barret-sur-Méouge
ABC du PNR des Bauges;PNR des Bauges;Arith, Bellecombe-en-Bauges, Lescheraines, Porte-de-Savoie, Le Noyer, Saint-François-de-Sales, Saint-Ours, Verel-Pragondran, Duingt, Gruffy, Lathuile, Quintal, Saint-Jorioz, Viuz-la-Chiésaz;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "PNR des Bauges" Arith
ABC du PNR du Lubéron - Auribeau, Lauris, Puget, Viens et Volx;Luberon;Volx, Auribeau, Lauris, Puget, Viens;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Luberon" Volx
ABC du PNR du Mont Ventoux;;Crestet, Entrechaux, Faucon, Puyméras, Vaison-la-Romaine;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "du PNR du Mont Ventoux" Crestet
ABC du PNR du Vercors;Vercors;Beaufort-sur-Gervanne, Chamaloc, La Chapelle-en-Vercors, Crest, Die, Gigors-et-Lozeron, Lus-la-Croix-Haute, Marignac-en-Diois, Saint-Andéol, Saint-Martin-en-Vercors, Saint-Nazaire-en-Royans, Suze, Vassieux-en-Vercors, Beauvoir-en-Royans, Château-Bernard, Choranche, Fontaine, Gresse-en-Vercors, Le Gua, Lans-en-Vercors, Autrans-Méaudre en Vercors, Miribel-Lanchâtre, Le Monestier-du-Percy, Percy, Pont-en-Royans, Presles, La Rivière, Saint-Guillaume, Saint-Nizier-du-Moucherotte, Saint-Paul-de-Varces, Seyssinet-Pariset, Seyssins, Varces-Allières-et-Risset;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Vercors" Beaufort-sur-Gervanne
ABC du PNR du Vercors - 2023;PNR du Vercors;Châtillon-en-Diois, Échevis, Laval-d'Aix, Plan-de-Baix, Ponet-et-Saint-Auban, Romans-sur-Isère, Sainte-Eulalie-en-Royans, Saint-Julien-en-Quint, Saint-Thomas-en-Royans, Auberives-en-Royans, Châtelus, Chichilianne, Engins, Izeron, Noyarey, Rencurel, Rovon, Saint-Andéol, Saint-André-en-Royans, Saint-Gervais, Saint-Just-de-Claix, Saint-Martin-de-Clelles, Saint-Michel-les-Portes, Saint-Pierre-de-Chérennes, Saint-Romans, Villard-de-Lans;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "PNR du Vercors" Châtillon-en-Diois
ABC du PNR du Verdon;Verdon;Saint-Julien-du-Verdon, Saint-Jurs;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Verdon" Saint-Julien-du-Verdon
ABC du PNR du Verdon - Trigance et Castellane;Verdon;Castellane, Trigance;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Verdon" Castellane
ABC du SYTEC;Syndicat Territoires de l'Est Cantal;Allanche, Alleuze, Andelat, Anglards-de-Saint-Flour, Anterrieux, Auriac-l'Église, Bonnac, Albepierre-Bredons, Brezons, Celoux, Cézens, Chaliers, Chanterelle, La Chapelle-d'Alagnon, La Chapelle-Laurent, Charmensac, Chaudes-Aigues, Chazelles, Clavières, Coltines, Condat, Coren, Cussac, Deux-Verges, Dienne, Espinasse, Ferrières-Saint-Mary, Fridefont, Gourdièges, Jabrun, Joursac, Lacapelle-Barrès, Landeyrat, Lastic, Laurie, Laveissenet, Laveissière, Lavigerie, Leyvaux, Lieutadès, Lorcières, Val d'Arcomie, Malbo, Marcenat, Massiac, Maurines, Mentières, Molèdes, Molompize, Montboudif, Montchamp, Murat, Narnhac, Neussargues-Moissac, Neuvéglise-sur-Truyère, Paulhac, Paulhenc, Peyrusse, Pierrefort, Pradiers, Rageade, Rézentières, Roffiac, Ruynes-en-Margeride, Saint-Bonnet-de-Condat, Saint-Flour, Saint-Georges, Sainte-Marie, Saint-Martial, Saint-Martin-sous-Vigouroux, Saint-Mary-le-Plain, Saint-Poncy, Saint-Rémy-de-Chaudes-Aigues, Saint-Saturnin, Saint-Urcize, Ségur-les-Villas, Soulages, Talizat, Tanavelle, Les Ternes, Tiviers, La Trinitat, Ussel, Vabres, Valjouze, Valuéjols, Védrines-Saint-Loup, Vernols, Vèze, Vieillespesse, Villedieu, Virargues;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Territoires de l'Est Cantal" Allanche
ABC du Syndicat Mixte Plaines Monts d’Or (SMPMO);Syndicat Mixte Plaines Monts d’Or (SMPMO);Albigny-sur-Saône, Champagne-au-Mont-d'Or, Chasselay, Les Chères, Collonges-au-Mont-d'Or, Couzon-au-Mont-d'Or, Curis-au-Mont-d'Or, Limonest, Lissieu, Poleymieux-au-Mont-d'Or, Quincieux, Saint-Cyr-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Germain-au-Mont-d'Or, Saint-Romain-au-Mont-d'Or;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte Plaines Monts d’Or (SMPMO)" Albigny-sur-Saône
ABC du Tignet et Peymeinade;Le Tignet;Peymeinade, Le Tignet;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Le Tignet" Peymeinade
ABC du plateau du Roumois (PNR des Boucles de la Seine Normande);Boucles De La Seine Normande;Barneville-sur-Seine, Bourneville-Sainte-Croix, Caumont, Corneville-sur-Risle, Étréville, Le Perrey, Hauville, La Haye-Aubrée, La Haye-de-Routot, Honguemare-Guenouville, Le Landin, Routot, Tocqueville, La Bouille, Mauny;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Boucles De La Seine Normande" Barneville-sur-Seine
ABC d’Amiens Métropole;CA Amiens Métropole;Allonville, Amiens, Bertangles, Blangy-Tronville, Bovelles, Boves, Cagny, Camon, Cardonnette, Clairy-Saulchoix, Creuse, Dreuil-lès-Amiens, Dury, Estrées-sur-Noye, Ferrières, Glisy, Grattepanche, Guignemicourt, Hébécourt, Longueau, Pissy, Pont-de-Metz, Poulainville, Querrieu, Remiencourt, Revelles, Rivery, Rumigny, Saint-Fuscien, Saint-Sauflieu, Saint-Vaast-en-Chaussée, Saleux, Salouël, Saveuse, Seux, Thézy-Glimont, Vaux-en-Amiénois, Vers-sur-Selle;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Amiens Métropole" Allonville
ABC intercommunale de la Communauté d’Agglomération de Châlons-en-Champagne;CA de Châlons-en-Champagne;Aigny, Aulnay-sur-Marne, Baconnes, Bouy, Bussy-Lettrée, Châlons-en-Champagne, Champigneul-Champagne, Cheniers, Cherville, Compertrix, Condé-sur-Marne, Coolus, Dommartin-Lettrée, L'Épine, Fagnières, Les Grandes-Loges, Haussimont, Isse, Jâlons, Juvigny, Lenharrée, Livry-Louvercy, Matougues, Moncetz-Longevas, Montépreux, Mourmelon-le-Grand, Mourmelon-le-Petit, Pocancy, Recy, Saint-Étienne-au-Temple, Saint-Gibrien, La Neuville-au-Temple, Saint-Martin-sur-le-Pré, Saint-Memmie, Saint-Pierre, Sarry, Sommesous, Soudé, Soudron, Thibie, Vadenay, Vassimont-et-Chapelaine, Vatry, La Veuve, Villers-le-Château, Vraux;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA de Châlons-en-Champagne" Aigny
ABC loire Forez agglomération n°3 (2023);CA Loire Forez Agglomération;Ailleux, Boën-sur-Lignon, Cezay, Chalain-d'Uzore, Champdieu, Châtelneuf, Solore-en-Forez, Essertines-en-Châtelneuf, Leigneux, Marcilly-le-Châtel, Marcoux, Mornand-en-Forez, Palogneux, Pralong, Sail-sous-Couzan, Saint-Georges-en-Couzan, Saint-Paul-d'Uzore, Saint-Sixte, Trelins;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Loire Forez Agglomération" Ailleux
ABCI de la Communauté de Communes Touraine Ouest Val de Loire - Phase 1;CC Touraine Ouest Val de Loire;Benais, Bourgueil, Château-la-Vallière, Langeais;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CC Touraine Ouest Val de Loire" Benais
ABI Communauté de Communes Sud;CC du Sud;Bandrele, Bouéni, Chirongui, Kani-Kéli;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "CC du Sud" Bandrele
ABI Communauté de communes de Petite-Terre;CC de Petite-Terre;Dzaoudzi, Pamandzi;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "CC de Petite-Terre" Dzaoudzi
ABI de la CC Sud Côte Chalonnaise;;Bissy-sur-Fley, Buxy, Chenôves, Collonge-en-Charollais, Culles-les-Roches, Fley, Germagny, Jully-lès-Buxy, Marcilly-lès-Buxy, Messey-sur-Grosne, Moroges, Le Puley, Rosey, Saint-Boil, Saint-Germain-lès-Buxy, Sainte-Hélène, Saint-Privé, Saint-Vallerin, Santilly, Sassangy, Saules, Savianges, Villeneuve-en-Montagne;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "ABI de la CC Sud Côte Chalonnaise" Bissy-sur-Fley
ABI de la CC du Val d'Amour;CC du Val d'Amour;Augerans, Bans, Belmont, Chamblay, Champagne-sur-Loue, Chatelay, Chissey-sur-Loue, Cramans, Écleux, Germigney, Grange-de-Vaivre, La Loye, Montbarrey, Mont-sous-Vaudrey, Mouchard, Ounans, Pagnoz, Port-Lesney, Santans, Souvans, Vaudrey, La Vieille-Loye, Villeneuve-d'Aval, Villers-Farlay;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CC du Val d'Amour" Augerans
ABI de la CC du Val de Gray;CC Val de Gray;Ancier, Apremont, Arc-lès-Gray, Arsans, Attricourt, Autrey-lès-Gray, Auvet-et-la-Chapelotte, Battrans, Bouhans-et-Feurg, Broye-les-Loups-et-Verfontaine, Broye-Aubigney-Montseugny, Champtonnay, Champvans, Chargey-lès-Gray, Chevigney, Cresancey, Écuelle, Esmoulins, Essertenne-et-Cecey, Fahy-lès-Autrey, Germigney, Gray, Gray-la-Ville, Igny, Lieucourt, Mantoche, Nantilly, Noiron, Onay, Oyrières, Pesmes, Poyans, La Grande-Résie, La Résie-Saint-Martin, Rigny, Saint-Loup-Nantouard, Sainte-Reine, Sauvigney-lès-Gray, Sauvigney-lès-Pesmes, Le Tremblois, Vadans, Valay, Vars, Velesmes-Échevanne, Velet, Venère;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CC Val de Gray" Ancier
ABiC de la Communauté d'agglomération de Thionville - Portes de France;CA Portes de France-Thionville;Angevillers, Fontoy, Basse-Ham, Havange, Illange, Kuntzig, Lommerange, Manom, Rochonvillers, Terville, Thionville, Tressange, Yutz;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Portes de France-Thionville" Angevillers
ABiC de la Communauté de Communes Bruyères Vallons des Vosges;;Beauménil, Belmont-sur-Buttant, Brouvelieures, Bruyères, Champ-le-Duc, Charmois-devant-Bruyères, Cheniménil, Destord, Deycimont, Docelles, Domfaing, Faucompierre, Fays, Fiménil, Fontenay, Fremifontaine, Girecourt-sur-Durbion, Grandvillers, Gugnécourt, Herpelmont, Jussarupt, Laval-sur-Vologne, Laveline-devant-Bruyères, Laveline-du-Houx, Lépanges-sur-Vologne, Méménil, La Neuveville-devant-Lépanges, Nonzeville, Pierrepont-sur-l'Arentèle, Prey, Le Roulier, Vervezelle, Viménil, Xamontarupt;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "ABiC de la Communauté de Communes Bruyères Vallons des Vosges" Beauménil
C.Biodiv, l’Atlas de la Biodiversité de la métropole clermontoise;Clermont Auvergne Métropole;Aubière, Aulnat, Beaumont, Blanzat, Cébazat, Le Cendre, Ceyrat, Chamalières, Châteaugay, Clermont-Ferrand, Cournon-d'Auvergne, Durtol, Gerzat, Lempdes, Nohanent, Orcines, Pérignat-lès-Sarliève, Pont-du-Château, Romagnat, Royat, Saint-Genès-Champanelle;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Clermont Auvergne Métropole" Aubière
Deuxième ABC de Dinan Agglomeration;CA Dinan Agglomération;Brusvily, Caulnes, Corseul, Languédias, Lanvallay, Mégrit, Pleudihen-sur-Rance, Beaussais-sur-Mer, Le Quiou, Saint-Judoce;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Dinan Agglomération" Brusvily
Deuxième ABC de Louvie-Soubiron;Louvie-Soubiron;Louvie-Soubiron;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Louvie-Soubiron" Louvie-Soubiron
Deuxième ABC du PNR Golfe du Morbihan;Golfe Du Morbihan;Arradon, Arzon, Auray, Brech, Damgan, Locmariaquer, Saint-Armel, Saint-Gildas-de-Rhuys, Saint-Nolff, Saint-Philibert, Sarzeau, Séné, Theix-Noyalo, Le Tour-du-Parc, Bono;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Golfe Du Morbihan" Arradon
EPINAL;Épinal;Épinal;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Épinal" Épinal
IBC Intercommunal Orléans Métropôle La Chapelle - Saint Privé - Saint Hilaire;Orléans Métropole La Chapelle-Saint-Mesmin;La Chapelle-Saint-Mesmin, Saint-Hilaire-Saint-Mesmin, Saint-Pryvé-Saint-Mesmin;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Orléans Métropole La Chapelle-Saint-Mesmin" La Chapelle-Saint-Mesmin
IBC d'Auneau-Bleury-Saint-Symphorien;Auneau-Bleury-Saint-Symphorien;Auneau-Bleury-Saint-Symphorien;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Auneau-Bleury-Saint-Symphorien" Auneau-Bleury-Saint-Symphorien
IBC d'Epineuil-le-Fleuriel;Épineuil-le-Fleuriel;Épineuil-le-Fleuriel;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Épineuil-le-Fleuriel" Épineuil-le-Fleuriel
IBC de Aillant-sur-Milleron;Aillant-sur-Milleron;Aillant-sur-Milleron;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Aillant-sur-Milleron" Aillant-sur-Milleron
IBC de Aubigny-sur-Nère;Aubigny-sur-Nère;Aubigny-sur-Nère;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Aubigny-sur-Nère" Aubigny-sur-Nère
IBC de Barjouville;;Barjouville;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Barjouville" Barjouville
IBC de Bou;Orléans Métropole Bou;Bou;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Orléans Métropole Bou" Bou
IBC de Cepoy;Cepoy;Cepoy;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Cepoy" Cepoy
IBC de Chambon;Chambon;Chambon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Chambon" Chambon
IBC de Charost;Chârost;Chârost;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Chârost" Chârost
IBC de Combleux;Orléans Métropole Combleux;Combleux;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Orléans Métropole Combleux" Combleux
IBC de Controis-en-Sologne;Le Controis-en-Sologne;Le Controis-en-Sologne;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Le Controis-en-Sologne" Le Controis-en-Sologne
IBC de Courtenay;;Courtenay;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Courtenay" Courtenay
IBC de Cuzion;Cuzion;Cuzion;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Cuzion" Cuzion
IBC de Drevant;Drevant;Drevant;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Drevant" Drevant
IBC de Fay-aux-loges;Fay-aux-Loges;Fay-aux-Loges;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Fay-aux-Loges" Fay-aux-Loges
IBC de Gasville-Oiseme;Gasville-Oisème;Gasville-Oisème;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Gasville-Oisème" Gasville-Oisème
IBC de Graçay;;Graçay;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Graçay" Graçay
IBC de Hanches;Hanches;Hanches;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Hanches" Hanches
IBC de Le Charme;Le Charme;Le Charme;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Le Charme" Le Charme
IBC de Luisant;;Luisant;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Luisant" Luisant
IBC de Mesland;;Mesland;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Mesland" Mesland
IBC de Monnaie;Monnaie;Monnaie;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Monnaie" Monnaie
IBC de Montbazon;;Montbazon;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Montbazon" Montbazon
IBC de Morancez;CA Chartres Métropole Morancez;Morancez;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA Chartres Métropole Morancez" Morancez
IBC de Pithiviers;Pithiviers;Pithiviers;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Pithiviers" Pithiviers
IBC de Plaimpied-Givaudins;;Plaimpied-Givaudins;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Plaimpied-Givaudins" Plaimpied-Givaudins
IBC de Pouillé;Pouillé;Pouillé;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Pouillé" Pouillé
IBC de Saint Vitte;;Saint-Vitte;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Saint Vitte" Saint-Vitte
IBC de Saint-Epain;;Saint-Épain;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Saint-Epain" Saint-Épain
IBC de Saint-Hilaire-en-Lignières;Saint-Hilaire-en-Lignières;Saint-Hilaire-en-Lignières;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Hilaire-en-Lignières" Saint-Hilaire-en-Lignières
IBC de Saint-Just;Saint-Just;Saint-Just;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Just" Saint-Just
IBC de Saint-outrille;;Saint-Outrille;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Saint-outrille" Saint-Outrille
IBC de Sainte Lizaigne;Sainte-Lizaigne;Sainte-Lizaigne;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Sainte-Lizaigne" Sainte-Lizaigne
IBC de Sainte Montaine;Sainte-Montaine;Sainte-Montaine;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Sainte-Montaine" Sainte-Montaine
IBC de Savigny-en-Sancerre;Savigny-en-Sancerre;Savigny-en-Sancerre;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Savigny-en-Sancerre" Savigny-en-Sancerre
IBC de Tigy;Tigy;Tigy;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Tigy" Tigy
IBC de Tours;;Tours;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Tours" Tours
IBC de Tranzault;Tranzault;Tranzault;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Tranzault" Tranzault
IBC de Valaire;;Valaire;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Valaire" Valaire
IBC de Vannes-sur-Cosson;;Vannes-sur-Cosson;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Vannes-sur-Cosson" Vannes-sur-Cosson
IBC de Vienne-en-val;;Vienne-en-Val;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "IBC de Vienne-en-val" Vienne-en-Val
IBC de Villefranche-sur-cher;Villefranche-sur-Cher;Villefranche-sur-Cher;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Villefranche-sur-Cher" Villefranche-sur-Cher
IBC des Aix-d'-Angillon;Les Aix-d'Angillon;Les Aix-d'Angillon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Les Aix-d'Angillon" Les Aix-d'Angillon
IBC du Petit Pressigny;;Le Petit-Pressigny;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "IBC du Petit Pressigny" Le Petit-Pressigny
PNR Scarpe Escaut;Scarpe-Escaut;Bousignies, Brillon, Sars-et-Rosières, Tilloy-lez-Marchiennes, Wandignies-Hamage;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Scarpe-Escaut" Bousignies
ABC La Ville-du-Bois;;La Ville-du-Bois;2017;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "La Ville-du-Bois" La Ville-du-Bois
ABC d'Ajaccio;Ajaccio;Ajaccio;2012;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Ajaccio" Ajaccio
ABC d'Arradon;Arradon;Arradon;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Arradon" Arradon
ABC d'Ézanville;Ézanville;Ézanville;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Ézanville" Ézanville
ABC de Le Plessis-Pâté;Le Plessis-Pâté;Le Plessis-Pâté;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Le Plessis-Pâté" Le Plessis-Pâté
ABC de Liergues;Porte des Pierres Dorées;Porte des Pierres Dorées;2015;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Porte des Pierres Dorées" Porte des Pierres Dorées
ABC de Locmariaquer;Locmariaquer;Locmariaquer;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Locmariaquer" Locmariaquer
ABC de Nogent-sur-vernisson;Nogent-sur-Vernisson;Nogent-sur-Vernisson;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Nogent-sur-Vernisson" Nogent-sur-Vernisson
ABC de Plérin;Plérin;Plérin;2016;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Plérin" Plérin
ABC de Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;2014;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Saint-Brieuc" Saint-Brieuc
ABC de Sermaise;Sermaise;Sermaise;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Sermaise" Sermaise
ABC de Valençay;Valençay;Valençay;2010;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Valençay" Valençay
ABC du PNR de La Sainte-Baume;La Sainte-Baume;La Celle, La Roquebrussanne;2018;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "La Sainte-Baume" La Celle
ABC du PNR des Baronnies Provençales;Baronnies Provençales;Éourres, Val Buëch-Méouge;2017;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Baronnies Provençales" Éourres
Premier ABC de Louvie-Soubiron;Louvie-Soubiron;Louvie-Soubiron;2014;Terminé;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Louvie-Soubiron" Louvie-Soubiron
